author,year,genre,title,description,thumbnail
Frank McCourt,2006,nonfiction,Teacher Man,"The author describes his coming of age as a teacher, storyteller, and writer, a personal journey during which he spent fifteen years finding his voice in the classroom, and came to terms with the undervalued importance of teaching.",http://books.google.com/books/content?id=YhgcwJ1L-s0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Doris Kearns Goodwin,2006,nonfiction,Team of Rivals,"An analysis of Abraham Lincoln's political talents identifies the character strengths and abilities that enabled his successful election, in an account that also describes how he used the same abilities to rally former opponents in winning the Civil War.",http://books.google.com/books/content?id=ONhhui9SRsMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Jimmy Carter,2006,nonfiction,Our Endangered Values,"The former president shares his personal views on moral values as they relate to key issues today, evaluating the controversial and increasing intersection between religious and political arenas.",http://books.google.com/books/content?id=qqyUX6KRbZsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
James Frey,2006,nonfiction,My Friend Leonard,"Perhaps the most unconventional and literally breathtaking father-son story you'll ever read, My Friend Leonard pulls you immediately and deeply into a relationship as unusual as it is inspiring. The father figure is Leonard, the high-living, recovering coke addict ""West Coast Director of a large Italian-American finance firm"" (read: mobster) who helped to keep James Frey clean in A Million Little Pieces. The son is, of course, James, damaged perhaps beyond repair by years of crack and alcohol addiction-and by more than a few cruel tricks of fate. James embarks on his post-rehab existence in Chicago emotionally devastated, broke, and afraid to get close to other people. But then Leonard comes back into his life, and everything changes. Leonard offers his ""son"" lucrative—if illegal and slightly dangerous—employment. He teaches James to enjoy life, sober, for the first time. He instructs him in the art of ""living boldly,"" pushes him to pursue his passion for writing, and provides a watchful and supportive veil of protection under which James can get his life together. Both Leonard's and James's careers flourish…but then Leonard vanishes. When the reasons behind his mysterious absence are revealed, the book opens up in unexpected emotional ways. My Friend Leonard showcases a brilliant and energetic young writer rising to important new challenges—displaying surprising warmth, humor, and maturity—without losing his intensity. This book proves that one of the most provocative literary voices of his generation is also one of the most emphatically human.",http://books.google.com/books/content?id=KunTApO0QL8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Sharon Rocha,2006,nonfiction,For Laci,"The mother of homicide victim Laci Peterson discusses Laci's life, the crime that took the lives of her daughter and her unborn grandson, the trial and conviction of Laci's husband Scott, and the impact of the tragedy on her family.",http://books.google.com/books/content?id=PzOW3QZ808MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
David Vlado Moskowitz,2006,nonfiction,Bob Marley,"Presents the life of the Jamaican musician who brought reggae music to world attention, discussing his involvement in Jamaican politics and the Rastafarian religion, and his untimely death from cancer at the age of thirty-six.",http://books.google.com/books/content?id=aNv2XuFP2-QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Tyler Perry,2006,nonfiction,Don't Make a Black Woman Take Off Her Earrings,"The author's alter ego, the outspoken, worldly wise grandmother Madea, shares her thoughts on life, love, and everyone around her, reflecting on marriage, child-rearing, etiquette, the Bible and the church, beauty advice, and gun care.",http://books.google.com/books/content?id=u050SSGTZXcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Anderson Cooper,2006,nonfiction,Dispatches from the Edge,"From one of America’s leading reporters comes a deeply personal, extraordinarily powerful look at the most volatile crises he has witnessed around the world, from New Orleans to Baghdad and beyond. Dispatches from the Edge of the World is a book that gives us a rare up-close glimpse of what happens when the normal order of things is suddenly turned upside down, whether it’s a natural disaster, a civil war, or a heated political battle. Over the last year, few people have witnessed more scenes of chaos and conflict than Anderson Cooper, whose groundbreaking coverage on CNN has become the touchstone of twenty-first century journalism. This book explores in a very personal way the most important - and most dangerous - crises of our time, and the surprising impact they have had on his life. From the devastating tsunami in South Asia to the suffering Niger, and ultimately Hurricane Katrina in New Orleans, Cooper shares his own experiences of traversing the globe, covering the world’s most astonishing stories. As a television journalist, he has the gift of speaking with an emotional directness that cuts through the barriers of the medium. In his first book, that passion communicates itself through a rich fabric of memoir and reportage, reflection and first-person narrative. Unflinching and utterly engrossing, this is the story of an extraordinary year in a reporter’s life.",http://books.google.com/books/content?id=RCgUWWH9mqYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ann H. Coulter,2006,nonfiction,Godless,"From the conservative spokesperson and author of Slander and How to Talk to a Liberal comes an all new, timely, and thought-provoking study of American politics and religion that looks at the Left's attacks on the Judeo-Christian tradition. Reprint. 300,000 first printing.",http://books.google.com/books/content?id=k_3EeVj2_IUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Tim Russert,2006,nonfiction,Wisdom of Our Fathers,"Sheds new light on fatherhood and the relationship between parent and child, discussing what we can learn from our fathers about humor, discipline, values, tradition, pride, loss, and love.",http://books.google.com/books/content?id=T3kV484lz-0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Thomas E. Ricks,2006,nonfiction,Fiasco,"Finalist for the Pulitzer Prize One of the Washington Post Book World's 10 Best Books of the Year One of Time's 10 Best Books of the Year USA Today's Nonfiction Book of the Year A New York Times Notable Book The definitive account of the American military's tragic experience in Iraq Fiasco is a masterful reckoning with the planning and execution of the American military invasion and occupation of Iraq through mid-2006, now with a postscript on recent developments. Ricks draws on the exclusive cooperation of an extraordinary number of American personnel, including more than one hundred senior officers, and access to more than 30,000 pages of official documents, many of them never before made public. Tragically, it is an undeniable account—explosive, shocking, and authoritative—of unsurpassed tactical success combined with unsurpassed strategic failure that indicts some of America's most powerful and honored civilian and military leaders.",http://books.google.com/books/content?id=JuWlzq_2IVwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nora Ephron,2006,nonfiction,I Feel Bad About My Neck,"A collection of essays offers a humorous look at the ups and downs of being a woman of a certain age, discussing the tribulations of maintenance and trying to stop the clock, menopause, and empty nests.",http://books.google.com/books/content?id=Gvmume1CHy4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bill O'Reilly,2006,nonfiction,Culture Warrior,"Examines the cultural war in America between those who embrace traditional values and those who want to transform America into a ""secular-progressive"" nation, discussing such topics as the media, the War on Terror, religion, and self-interest.",http://books.google.com/books/content?id=JIVQa4uIpPAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Stanley Cohen,2006,nonfiction,States of Denial,"Blocking out, turning a blind eye, shutting off, not wanting to know, wearing blinkers, seeing what we want to see ... these are all expressions of 'denial'. Alcoholics who refuse to recognize their condition, people who brush aside suspicions of their partner's infidelity, the wife who doesn't notice that her husband is abusing their daughter - are supposedly 'in denial'. Governments deny their responsibility for atrocities, and plan them to achieve 'maximum deniability'. Truth Commissions try to overcome the suppression and denial of past horrors. Bystander nations deny their responsibility to intervene. Do these phenomena have anything in common? When we deny, are we aware of what we are doing or is this an unconscious defence mechanism to protect us from unwelcome truths? Can there be cultures of denial? How do organizations like Amnesty and Oxfam try to overcome the public's apparent indifference to distant suffering and cruelty? Is denial always so bad - or do we need positive illusions to retain our sanity? States of Denial is the first comprehensive study of both the personal and political ways in which uncomfortable realities are avoided and evaded. It ranges from clinical studies of depression, to media images of suffering, to explanations of the 'passive bystander' and 'compassion fatigue'. The book shows how organized atrocities - the Holocaust and other genocides, torture, and political massacres - are denied by perpetrators and by bystanders, those who stand by and do nothing.",http://books.google.com/books/content?id=wUWaAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
John Grisham,2006,nonfiction,The Innocent Man,"#1 NEW YORK TIMES BESTSELLER • John Grisham’s first work of nonfiction: a true crime story that will terrify anyone who believes in the presumption of innocence. NOW A NETFLIX ORIGINAL DOCUMENTARY SERIES “Both an American tragedy and [Grisham’s] strongest legal thriller yet, all the more gripping because it happens to be true.”—Entertainment Weekly In the town of Ada, Oklahoma, Ron Williamson was going to be the next Mickey Mantle. But on his way to the Big Leagues, Ron stumbled, his dreams broken by drinking, drugs, and women. Then, on a winter night in 1982, not far from Ron’s home, a young cocktail waitress named Debra Sue Carter was savagely murdered. The investigation led nowhere. Until, on the flimsiest evidence, it led to Ron Williamson. The washed-up small-town hero was charged, tried, and sentenced to death—in a trial littered with lying witnesses and tainted evidence that would shatter a man’s already broken life, and let a true killer go free. Impeccably researched, grippingly told, filled with eleventh-hour drama, The Innocent Man reads like a page-turning legal thriller. It is a book no American can afford to miss. Praise for The Innocent Man “Grisham has crafted a legal thriller every bit as suspenseful and fast-paced as his bestselling fiction.”—The Boston Globe “A gritty, harrowing true-crime story.”—Time “A triumph.”—The Seattle Times BONUS: This edition includes an excerpt from John Grisham’s The Litigators.",http://books.google.com/books/content?id=vtENwqjzRxMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Barack Obama,2006,nonfiction,The Audacity of Hope,"#1 NEW YORK TIMES BESTSELLER • Barack Obama’s lucid vision of America’s place in the world and call for a new kind of politics that builds upon our shared understandings as Americans, based on his years in the Senate “In our lowdown, dispiriting era, Obama’s talent for proposing humane, sensible solutions with uplifting, elegant prose does fill one with hope.”—Michael Kazin, The Washington Post In July 2004, four years before his presidency, Barack Obama electrified the Democratic National Convention with an address that spoke to Americans across the political spectrum. One phrase in particular anchored itself in listeners’ minds, a reminder that for all the discord and struggle to be found in our history as a nation, we have always been guided by a dogged optimism in the future, or what Obama called “the audacity of hope.” The Audacity of Hope is Barack Obama’s call for a different brand of politics—a politics for those weary of bitter partisanship and alienated by the “endless clash of armies” we see in congress and on the campaign trail; a politics rooted in the faith, inclusiveness, and nobility of spirit at the heart of “our improbable experiment in democracy.” He explores those forces—from the fear of losing to the perpetual need to raise money to the power of the media—that can stifle even the best-intentioned politician. He also writes, with surprising intimacy and self-deprecating humor, about settling in as a senator, seeking to balance the demands of public service and family life, and his own deepening religious commitment. At the heart of this book is Barack Obama’s vision of how we can move beyond our divisions to tackle concrete problems. He examines the growing economic insecurity of American families, the racial and religious tensions within the body politic, and the transnational threats—from terrorism to pandemic—that gather beyond our shores. And he grapples with the role that faith plays in a democracy—where it is vital and where it must never intrude. Underlying his stories is a vigorous search for connection: the foundation for a radically hopeful political consensus. Only by returning to the principles that gave birth to our Constitution, Obama says, can Americans repair a political process that is broken, and restore to working order a government that has fallen dangerously out of touch with millions of ordinary Americans. Those Americans are out there, he writes—“waiting for Republicans and Democrats to catch up with them.”",http://books.google.com/books/content?id=k85pcYttpW0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,"Mary, Mary","THE STORY: As Howard Taubman of the New York Times describes: You will not be overwhelmed to discover that Mary is contrary and that her trouble is basic insecurity. Seems she had an older sister, a stunner. Oh, the traumatic effect on Mary! In hi",http://books.google.com/books/content?id=Ghe12va8pOgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,S is for Silence,"Thirty-four years after Violet Sullivan's unexplained disappearance, Daisy--the not-quite-seven-year-old daughter she left behind--enlists the assistance of private detective Kinsey Millhone to help her find the truth.",http://books.google.com/books/content?id=rUNpzLlMd9YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Hostage,"Former LAPD hostage negotiator Jeff Talley takes a job as chief of police in a small town far from the city, but his peaceful life is overturned when three young men, fleeing a robbery, invade a local home and take a family hostage.",http://books.google.com/books/content?id=RDXgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,The Lost Symbol,"The discovery of a mysterious object in the U.S. Capitol building and a subsequent kidnapping lead Harvard symbologist Robert Langdon into a web of mysterious codes, secret locations, and hidden knowledge.",http://books.google.com/books/content?id=tCqI98qnVrcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Cell Cycle - Materials and Methods,"During their lifetime, especially when growing and dividing, cells go through various steps of the cell cycle. Knowledge of the individual steps of the cell cycle will help us understand the development of a variety of diseases better, including cancer, and also to design new drugs against it. New techniques for studying the molecular basis of these processes have recently been developed and are described in detail in this manual. A glossary helps the reader to cope with the complex cell cycle terminology.",http://books.google.com/books/content?id=TMeSQKLVBAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Fifth Horseman,Healthy patients are dying of unknown causes in a San Francisco hospital and the Women's Murder Club decides to investigate the hospital's personnel. They discover a hospital administrator determined to shield the hospitals reputation.,http://books.google.com/books/content?id=ZklHlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
,2006,fiction,The House,"Told in their separate voices, Gavin, a loner outcast, and Delilah, back in small-town Kansas after years at a Massachusetts boarding school, reconnect their senior year, but as their relationship deepens, it is clear that the eerie house Gavin dwells in will do anything to keep the two apart.",http://books.google.com/books/content?id=SgGiCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,The Lost Symbol,"The discovery of a mysterious object in the U.S. Capitol building and a subsequent kidnapping lead Harvard symbologist Robert Langdon into a web of mysterious codes, secret locations, and hidden knowledge.",http://books.google.com/books/content?id=tCqI98qnVrcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Gone,"Investigating a serial carjacker whose actual targets are young children in back seats, Jack Caffery teams up once again with police diver Sergeant Flea Marley, whose life is endangered by a discovery in an abandoned, half-submerged tunnel. By the author of The Devil of Nanking.",http://books.google.com/books/content?id=DjbBdKQIRDIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
,2006,fiction,Two Little Girls in Blue,"Traumatized by the kidnappings of her twin three-year-old girls, only one of whom was recovered, a mother begins a desperate search when her returned daughter claims that the other twin, believed dead, is still alive and in mortal danger. Reprint.",http://books.google.com/books/content?id=a336TLpjXMQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,Beach Road,"Dark mysteries come to East Hampton while a struggling lawyer fights to save his friend from being framed for a triple murder. Montauk lawyer Tom Dunleavy's client list is woefully small-occasional real estate closings barely keep him in paper clips. So when he is hired to defend a local man accused in a triple murder in East Hampton, he knows that he has found the case of his lifetime. The crime turns the glittering playground for the super-rich into a blazing inferno. Dunleavy's client is a local hero, but he knows the case rests on money, deception, and forbidden desires. His client will be framed-unless he can find the key to the case. When Dunleavy is joined by his former flame, the savvy and well-connected attorney, Kate Costello, he believes he has a chance. But payback is a bitch, especially from the rich. The violent retaliations of billionaires threatened by his investigation exceed anything Dunleavy has ever seen. With the entire nation's eyes on him in a new Trial of the Century, Dunleavy orchestrates a series of revelations that lead to a stunning outcome-and the truth is wilder than anything he ever imagined.",http://books.google.com/books/content?id=CPG6o9eyMMEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2006,fiction,At Risk,"A New York Times bestseller from the author of The Rules of Magic: In 1980s America, a family copes with their daughter’s terrifying diagnosis. In a lovely old house near the coast of Massachusetts, the Farrells go through the routines of a typical August morning. Eight-year-old Charlie, a junior biologist and dinosaur expert, tries to collect one of his insect specimens. His sister, Amanda, a talented gymnast who at eleven years old is already saving her money to try out for the Olympics, prepares for her last meet of the summer. Ivan, their absent-minded father, is involved with his work as an astronomer. Out in the garden, his wife, Polly, wonders how she can trick her children into eating more zucchini. They are a family as unique and ordinary as any other, but their world will soon be shattered when Amanda is diagnosed with the disease that has been making headlines lately: AIDS. The new and still-mysterious ailment scares them—and their friends and neighbors as well. In an instant, everything that gave their lives meaning is ripped away, and the intimacy that once came so naturally vanishes. Too overcome with grief to turn to each other, Ivan and Polly seek solace elsewhere. Charlie is abandoned by his best friend and, for long stretches at a time, forgotten by his parents. Amanda, who holds on to her dreams so tightly, must somehow find a way to let go. Torn apart by the prospect of their loss, Polly, Ivan, and Charlie must find the courage to come back together again—for Amanda’s sake and for their own. At Risk is an exquisite book about true sorrow and even truer devotion.",http://books.google.com/books/content?id=7LBiBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
