title,description,thumbnail
Teacher Man,"The author describes his coming of age as a teacher, storyteller, and writer, a personal journey during which he spent fifteen years finding his voice in the classroom, and came to terms with the undervalued importance of teaching.",http://books.google.com/books/content?id=YhgcwJ1L-s0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Team of Rivals,"An analysis of Abraham Lincoln's political talents identifies the character strengths and abilities that enabled his successful election, in an account that also describes how he used the same abilities to rally former opponents in winning the Civil War.",http://books.google.com/books/content?id=ONhhui9SRsMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Our Endangered Values,"The former president shares his personal views on moral values as they relate to key issues today, evaluating the controversial and increasing intersection between religious and political arenas.",http://books.google.com/books/content?id=qqyUX6KRbZsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
My Friend Leonard,"Perhaps the most unconventional and literally breathtaking father-son story you'll ever read, My Friend Leonard pulls you immediately and deeply into a relationship as unusual as it is inspiring. The father figure is Leonard, the high-living, recovering coke addict ""West Coast Director of a large Italian-American finance firm"" (read: mobster) who helped to keep James Frey clean in A Million Little Pieces. The son is, of course, James, damaged perhaps beyond repair by years of crack and alcohol addiction-and by more than a few cruel tricks of fate. James embarks on his post-rehab existence in Chicago emotionally devastated, broke, and afraid to get close to other people. But then Leonard comes back into his life, and everything changes. Leonard offers his ""son"" lucrative—if illegal and slightly dangerous—employment. He teaches James to enjoy life, sober, for the first time. He instructs him in the art of ""living boldly,"" pushes him to pursue his passion for writing, and provides a watchful and supportive veil of protection under which James can get his life together. Both Leonard's and James's careers flourish…but then Leonard vanishes. When the reasons behind his mysterious absence are revealed, the book opens up in unexpected emotional ways. My Friend Leonard showcases a brilliant and energetic young writer rising to important new challenges—displaying surprising warmth, humor, and maturity—without losing his intensity. This book proves that one of the most provocative literary voices of his generation is also one of the most emphatically human.",http://books.google.com/books/content?id=KunTApO0QL8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
For Laci,"The mother of homicide victim Laci Peterson discusses Laci's life, the crime that took the lives of her daughter and her unborn grandson, the trial and conviction of Laci's husband Scott, and the impact of the tragedy on her family.",http://books.google.com/books/content?id=PzOW3QZ808MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bob Marley,"Presents the life of the Jamaican musician who brought reggae music to world attention, discussing his involvement in Jamaican politics and the Rastafarian religion, and his untimely death from cancer at the age of thirty-six.",http://books.google.com/books/content?id=aNv2XuFP2-QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Don't Make a Black Woman Take Off Her Earrings,"The author's alter ego, the outspoken, worldly wise grandmother Madea, shares her thoughts on life, love, and everyone around her, reflecting on marriage, child-rearing, etiquette, the Bible and the church, beauty advice, and gun care.",http://books.google.com/books/content?id=u050SSGTZXcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Dispatches from the Edge,"From one of America’s leading reporters comes a deeply personal, extraordinarily powerful look at the most volatile crises he has witnessed around the world, from New Orleans to Baghdad and beyond. Dispatches from the Edge of the World is a book that gives us a rare up-close glimpse of what happens when the normal order of things is suddenly turned upside down, whether it’s a natural disaster, a civil war, or a heated political battle. Over the last year, few people have witnessed more scenes of chaos and conflict than Anderson Cooper, whose groundbreaking coverage on CNN has become the touchstone of twenty-first century journalism. This book explores in a very personal way the most important - and most dangerous - crises of our time, and the surprising impact they have had on his life. From the devastating tsunami in South Asia to the suffering Niger, and ultimately Hurricane Katrina in New Orleans, Cooper shares his own experiences of traversing the globe, covering the world’s most astonishing stories. As a television journalist, he has the gift of speaking with an emotional directness that cuts through the barriers of the medium. In his first book, that passion communicates itself through a rich fabric of memoir and reportage, reflection and first-person narrative. Unflinching and utterly engrossing, this is the story of an extraordinary year in a reporter’s life.",http://books.google.com/books/content?id=RCgUWWH9mqYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Godless,"From the conservative spokesperson and author of Slander and How to Talk to a Liberal comes an all new, timely, and thought-provoking study of American politics and religion that looks at the Left's attacks on the Judeo-Christian tradition. Reprint. 300,000 first printing.",http://books.google.com/books/content?id=k_3EeVj2_IUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Wisdom of Our Fathers,"Sheds new light on fatherhood and the relationship between parent and child, discussing what we can learn from our fathers about humor, discipline, values, tradition, pride, loss, and love.",http://books.google.com/books/content?id=T3kV484lz-0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
