2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Mary, Mary",For One More Day,Double Cross,The Christmas Sweater,The Lost Symbol,Dead or Alive,11/22/63,The Racketeer,Sycamore Row,Gray Mountain,Rogue Lawyer,The Whistler,Origin,The Reckoning
"""S"" Is for Silence",Plum Lovin',A Thousand Splendid Suns,Scarpetta,The Help,What the Night Knows,77 Shadow Street,Gone Girl,The Invention of Wings,Gone Girl,The Girl on the Train,The Wrong Side of Goodbye,The People vs. Alex Cross,The Long Road to Mercy
The Hostage,Step on a Crack,Plum Lucky,Black Ops,Worst Case,The Girl Who Kicked the Hornets' Nest,Private: #1 Suspect	,A Memory of Light,The Goldfinch,All the Light We Cannot See,Scandalous Behavior,The Mistress,The Woman in the Window,Verses for the Dead
The Da Vinci Code,Innocent in Death,Duma Key,Plum Spooky,Fantasy in Death,The Inner Circle,Believing the Lie,Private Berlin,Private L.A.,The Girl on the Train,Blue,A Dog's Purpose,City of Endless Night,Turning Point
Cell,Shopaholic and Baby,The Appeal,The Associate,House Rules,Shadowfever,Taken,Until the End of Time,Concealed in Death,The Liar,NYPD Red 4,Never Never,Judgment Road,Where the Crawdads Sing
The 5th Horseman,Nineteen Minutes,Change of Heart,Promises in Death,Caught,Tick Tock,Home Front,A Week in Winter,The Chance,Memory Man,Brotherhood In Death,Right Behind You,Dark in Death,Connections in Death
The House,I Heard That Song Before,Compulsion,Handle with Care,Silver Borne,Alone,Kill Shot,"Alex Cross, Run",Words of Radiance,Gathering Prey,Morning Star,Echoes in Death,The Great Alone,Where the Crawdads Sing
The Da Vinci Code,The Children of Húrin,Unaccustomed Earth,True Detectives,Changes,Treachery in Death,Private Games,Calculated in Death,Night Broken,14th Deadly Sin,Cometh the hour,Heartbreak Hotel,Burn Bright,Redemption
Gone,Simple Genius,Where Are You Now?,Long Lost,The Shadow of Your Smile,The Wise Man's Fear,Celebrity in Death,Reckless,Missing You,Radiant Angel,Me Before You,The Shack,The Rising Sea,Neon Prey
Two Little Girls in Blue,The 6th Target,Hold Tight,Turn Coat,Deliver us from Evil,Water for Elephants,Fifty Shades of Grey	,Six Years,Shadow Spell,Finders Keepers,The Gangster,Mississippi Blood,Accidental Heroes,18th Abduction
Beach Road,A Thousand Splendid Suns,The Whole Truth,Just Take My Heart,The 9th Judgment,Live Wire,A Wanted Man,Lover At Last,The King,Grey,Fire Touched,The Black Book,The Disappeared,Summer of '69
At Risk,Lean Mean Thirteen,Sundays at Tiffany's,First Family,Dead in the Family,The Land of Painted Caves,Winter of the World,Walking Disaster,Carnal Curiosity,Go Set a Watchman,Private Paris,The Chosen,Ready Player One,Under Currents
The Husband,A Thousand Splendid Suns,The Host,8th Confession,61 Hours,The Fifth Witness,	The Casual Vacancy,The Bet,The Collector,Alert,Fool me once,The Fix,The Thief,The New Girl
Twelve Sharp,The Quickie,Odd Hours,Dead and Gone,The Girl Who Kicked the Hornets' Nest,Dead Reckoning,Reflected in You,Whiskey Beach,The Target,Go Set a Watchman,One with you,Golden Prey,The Fallen,One Good Deed
Angels Fall,You've Been Warned,Blood Noir,Wicked Prey,The Overton Window,The Help,The Bone Bed,The Hit,Unlucky 13,Friction,The Obsession,16th Seduction,Twisted Prey,A Better Man
Phantom,Playing for Pizza,Nothing to lose,Gone Tomorrow,Sizzling Sixteen,Smokin' Seventeen,The Racketeer,12th of Never,The One and Only,X,The Last Mile,Into the Water,The 17th Suspect,Vendetta in Death
Angels Fall,World Without End,Sail,The Scarecrow,Private,Now You See Her,The Perfect Hope,Dead Ever After,Skin Game,The Girl in the Spider's Web,	Extreme Prey,Come Sundown,The Cast,The Institute
Judge and Jury,Book of the Dead,Fearless Fourteen,Skin Trade,The Search,A Dance with Dragons,The Last Man,Inferno,Mr. Mercedes,Make Me,15th Affair,Camino Island,The Outsider,The Water Dancer
Rise and Shine,Protect and Defended,The Last Patriot,Relentless,The Girl Who Kicked the Hornets' Nest,The Affair,Notorious Nineteen,	Entwined With You,Written in My Own Heart's Blood	,The Martian,Me Before You,House of Spies,Shelter in Place,Bloody Genius
The Book of Fate,Stone Cold,Tribute,Knockout,The Rembrandt Affair,The Best of Me,The Black Box,Second Honeymoon,	Top Secret Twenty-One,The Survivor,End of Watch,The Late Show,The President Is Missing,The 19th Christmas
The Thirteenth Tale,Double Cross,Moscow Rules,Finger Lickin' Fifteen,The Postcard Killers,The Litigators,Threat Vector,Hidden Order,Invisible,See Me,Bay of Sighs,The Medical Examiner,The Other Woman,The Guardians
For One More Day,"""T"" Is for Trespass",Acheron,Swimsuit,Freedom,Zero Day,Gone Girl,The Cuckoo's Calling,Act of War,Rogue Lawyer,The Games,Any Dream Will Do,Tailspin,	The Night Fire
Lisey's Story,,Smoke Screen,Black Hills,Safe Haven,11/22/63,,Burn,The Book of Life,The Crossing,The Black Widow,Seeing Red,Crazy Rich Asians,Blue Moon
Dear John,,	The Force Unleashed,Best Friends Forever,Fall of Giants,Kill Alex Cross,,	How the Light Gets In,Fifty Shades of Grey,Tricky Twenty-Two,Truly Madly Guilty,"""Y"" Is for Yesterday",Leverage In Death,Twisted Twenty-Six
Cross,,Devil Bones,The Defector,The Reversal,Explosive Eighteen,,Never Go Back,Big Little Lies,Cross Justice,Bullseye,Glass Houses,Juror #3,A Minute to Midnight
,,Dark Curse,	The Girl Who Played with Fire,American Assassin,The Drop,,W is for Wasted,Outlander,The Nightingale,Insidious,Secrets in Death,Lethal White,The Rise of Magicks
,,Anathem,Bad Moon Rising,Worth Dying For,Red Mist,,The Longest Ride,The Long Way Home,,A Great Reckoning,A Column of Fire,	Vince Flynn: Red War,The Guardians
,,The Story of Edgar Sawtelle,South of Broad,The Confession,,,Doctor Sleep,Personal,,Apprentice in Death,The Cuban Affair,A Spark Of Light,
,,The Lucky One,Alex Cross's Trial	,Towers of Midnight,,,Gone,Festive in Death,,Escape Clause,Sleeping Beauties,Holy Ghost,
,,The Brass Verdict,Dark Slayer,Hell's Corner,,,Storm Front,Edge of Eternity,,The Whistler,Origin,Every Breath,
,,Extreme Measures,The Last Song,Cross Fire,,,Just One Evil Act,Gone Girl,,	The Wrong Side of Goodbye,The Rooster Bar,The Reckoning,
,,The Gate House,The Lost Symbol,Port Mortuary,,,	Sycamore Row,Gray Mountain,,Night School,Two Kinds of Truth,Dark Sacred Night,
,,Divine Justice,The Gathering Storm,Dead or Alive,,,Dark Witch,Blood Magick,,Turbo Twenty-three,The Midnight Line,Past Tense,
,,The Christmas Sweater,Ford County,,,,Takedown Twenty,The Burning Room,,Cross the Line,Hardcore Twenty-Four,	Look Alive Twenty-Five,
,,Cross Country,Under the Dome,,,,Cross My Heart,Revival,,Island of Glass,The People vs. Alex Cross,Fire and Blood,
,,Scarpetta,"I, Alex Cross",,,,The Gods of Guilt,Captivated by You,,,Darker: Fifty Shades Darker as Told by Christian,Kingdom of the Blind,
,,,"""U"" Is for Undertow",,,,,Hope to Die,,,Year One,Of Blood and Bone,
,,,The Lost Symbol,,,,,Gray Mountain,,,,,
,,,,,,,,All the Light We Cannot See,,,,,
